"Time,ms",3,5,6,6,6,15,17,17
29.5,-13.06633203,-4.96E-06,-49.1300998,-1.74E-05,-1.97E-05,-26.0031411,-1.04E-05,-1.18E-05
30,-14.78887316,-6.33E-06,-53.78848073,-1.94E-05,-2.24E-05,-28.4024245,-1.20E-05,-1.34E-05
30.5,-16.59253576,-7.75E-06,-58.5571579,-2.13E-05,-2.52E-05,-30.81425893,-1.35E-05,-1.50E-05
31,-18.46544728,-9.20E-06,-63.40139953,-2.33E-05,-2.80E-05,-33.2167001,-1.50E-05,-1.66E-05
31.5,-20.3945383,-1.07E-05,-68.28442565,-2.53E-05,-3.08E-05,-35.58711614,-1.65E-05,-1.81E-05
32,-22.3656516,-1.22E-05,-73.16775736,-2.73E-05,-3.36E-05,-37.90242772,-1.80E-05,-1.97E-05
32.5,-24.36364957,-1.37E-05,-78.01155152,-2.93E-05,-3.63E-05,-40.1393263,-1.94E-05,-2.12E-05
33,-26.37255602,-1.52E-05,-82.77500456,-3.12E-05,-3.90E-05,-42.2745361,-2.07E-05,-2.26E-05
33.5,-28.37569991,-1.67E-05,-87.41672355,-3.31E-05,-4.16E-05,-44.28506145,-2.19E-05,-2.39E-05
34,-30.35586997,-1.82E-05,-91.89514094,-3.49E-05,-4.41E-05,-46.14844511,-2.30E-05,-2.52E-05
34.5,-32.29547292,-1.96E-05,-96.16895113,-3.66E-05,-4.65E-05,-47.84300472,-2.40E-05,-2.63E-05
35,-34.17671905,-2.09E-05,-100.1974888,-3.82E-05,-4.87E-05,-49.34808749,-2.49E-05,-2.74E-05
35.5,-35.98178591,-2.22E-05,-103.9412091,-3.97E-05,-5.07E-05,-50.6442957,-2.56E-05,-2.83E-05
36,-37.69300747,-2.33E-05,-107.3620442,-4.10E-05,-5.25E-05,-51.7137305,-2.61E-05,-2.91E-05
36.5,-39.29306331,-2.44E-05,-110.4238472,-4.22E-05,-5.42E-05,-52.54018106,-2.66E-05,-2.97E-05
37,-40.76513869,-2.53E-05,-113.0927631,-4.32E-05,-5.56E-05,-53.10933193,-2.68E-05,-3.02E-05
37.5,-42.09313192,-2.62E-05,-115.3375924,-4.41E-05,-5.67E-05,-53.40894495,-2.69E-05,-3.05E-05
38,-43.26179624,-2.69E-05,-117.1301483,-4.47E-05,-5.76E-05,-53.42899385,-2.68E-05,-3.06E-05
38.5,-44.25694351,-2.74E-05,-118.4455759,-4.52E-05,-5.82E-05,-53.16180977,-2.65E-05,-3.06E-05
39,-45.06556797,-2.78E-05,-119.262615,-4.54E-05,-5.86E-05,-52.60218677,-2.61E-05,-3.04E-05
39.5,-45.67602082,-2.80E-05,-119.5638615,-4.55E-05,-5.86E-05,-51.74746184,-2.55E-05,-3.00E-05
40,-46.07813025,-2.81E-05,-119.335964,-4.53E-05,-5.84E-05,-50.59755858,-2.47E-05,-2.94E-05
40.5,-46.26331429,-2.80E-05,-118.5698056,-4.49E-05,-5.79E-05,-49.15501995,-2.37E-05,-2.86E-05
41,-46.2247117,-2.77E-05,-117.2606135,-4.43E-05,-5.71E-05,-47.4250046,-2.25E-05,-2.77E-05
41.5,-45.95724749,-2.72E-05,-115.4080528,-4.34E-05,-5.60E-05,-45.41524322,-2.13E-05,-2.66E-05
42,-45.45770571,-2.66E-05,-113.0162273,-4.24E-05,-5.46E-05,-43.13598765,-1.98E-05,-2.54E-05
42.5,-44.72478395,-2.58E-05,-110.0936934,-4.11E-05,-5.30E-05,-40.59991988,-1.82E-05,-2.39E-05
43,-43.75912249,-2.48E-05,-106.6533805,-3.96E-05,-5.10E-05,-37.82202839,-1.65E-05,-2.24E-05
43.5,-42.56331522,-2.36E-05,-102.7124963,-3.79E-05,-4.89E-05,-34.81946624,-1.47E-05,-2.07E-05
44,-41.14188778,-2.23E-05,-98.29234477,-3.60E-05,-4.65E-05,-31.61139466,-1.28E-05,-1.88E-05
44.5,-39.50128666,-2.08E-05,-93.41816622,-3.40E-05,-4.38E-05,-28.21878479,-1.08E-05,-1.69E-05
45,-37.64980647,-1.92E-05,-88.11887528,-3.18E-05,-4.10E-05,-24.66421574,-8.69E-06,-1.48E-05
45.5,-35.59753895,-1.75E-05,-82.4267845,-2.94E-05,-3.80E-05,-20.97164725,-6.55E-06,-1.27E-05
46,-33.35626752,-1.56E-05,-76.37731323,-2.69E-05,-3.48E-05,-17.16617589,-4.37E-06,-1.05E-05
46.5,-30.93936175,-1.37E-05,-70.00860933,-2.42E-05,-3.15E-05,-13.27378777,-2.17E-06,-8.19E-06
47,-28.36166095,-1.16E-05,-63.36121442,-2.15E-05,-2.80E-05,-9.321096513,4.90E-08,-5.87E-06
47.5,-25.63932685,-9.49E-06,-56.47764192,-1.87E-05,-2.45E-05,-5.335072728,2.26E-06,-3.53E-06
48,-22.78968714,-7.31E-06,-49.40198778,-1.58E-05,-2.09E-05,-1.342779569,4.44E-06,-1.17E-06
48.5,-19.83108086,-5.09E-06,-42.17947935,-1.28E-05,-1.72E-05,2.628899892,6.58E-06,1.18E-06
49,-16.78267108,-2.84E-06,-34.8560643,-9.87E-06,-1.35E-05,6.553527783,8.67E-06,3.50E-06
49.5,-13.66426204,-5.83E-07,-27.47794133,-6.89E-06,-9.84E-06,10.40536972,1.07E-05,5.80E-06
